WORDBLOCKNUMBER	WORDTEXT	WORDTYPE	WORDROLE
3755	obstructive sleep apnea	4	0
3755	OSA	3	0
3756	occipitomental	0	1
3756	OM	3	1
3758	occiput posterior	4	0
3758	OP	3	0
3760	OB	3	0
3760	occult blood	4	0
3761	occupational dermatitis	4	0
3761	OD	3	0
3762	occupational disease	4	0
3762	OD	3	0
3763	occupational therapist	4	0
3763	OT	3	0
3764	occupational therapy	4	0
3764	OT	3	0
3765	octamethyl pyrophosphoramide	4	0
3765	OMPA	3	0
3767	oculomotor	0	4
3767	OM	3	4
3771	old tuberculin	4	0
3771	OT	3	0
3772	OA	3	0
3772	oleic acid	4	0
3774	OB	3	0
3774	olfactory bulb	4	0
3778	OP	3	0
3778	opening pressure	4	0
3781	operating room	4	0
3781	OR	3	0
3783	OP	3	0
3783	operative procedure	4	0
3785	OP	3	4
3785	ophthalmology	0	4
3787	OP	3	0
3787	opponens pollicis	4	0
3789	OA	3	0
3789	optic atrophy	4	0
3790	optic radiation	4	0
3790	OR	3	0
3791	OC	3	0
3791	oral contraceptive	4	0
3792	OR	3	0
3792	oral rehydration	4	0
3794	OP	3	4
3794	organophosphorus	0	4
3795	OC	3	0
3795	organ culture	4	0
3797	ODC	3	0
3797	ornithine decarboxylase	4	0
3798	OP	3	4
3798	oropharynx	0	4
3799	OA	3	0
3799	orotic acid	4	0
3801	OP	3	0
3801	orthostatic proteinuria	4	0
3802	OP	3	0
3802	osmotic pressure	4	0
3804	OAP	3	4
3804	osteoarthropathy	0	4
3805	OM	3	4
3805	osteomalacia	0	4
3807	OP	3	4
3807	osteoporosis	0	4
3809	OM	3	0
3809	otitis media	4	0
3813	ounce	0	4
3813	oz	3	4
3814	OMP	3	0
3814	outer membrane protein	4	0
3815	OPD	3	0
3815	outpatient department	4	0
3816	OP	3	4
3816	out-patient	0	4
3817	OA	3	4
3817	ovalbumin	0	4
3818	OD	3	4
3818	overdosage	0	4
3819	OD	3	4
3819	overdose	0	4
3825	OER	3	0
3825	oxygen extraction ratio	4	0
3828	oxygen partial pressure	4	0
3828	pO2	3	0
3831	HbO	3	4
3831	oxyhemoglobin	0	4
3834	packed-cell volume	4	0
3834	PCV	3	0
3837	palatopharyngoplasty	0	4
3837	PPP	3	4
3839	palmitoyl carnitine	4	0
3839	PC	3	0
3841	pancreatic polypeptide	4	0
3841	PNP	3	0
3842	PA	3	0
3842	pantothenic acid	4	0
3844	PA	3	0
3844	paralysis agitans	4	0
3846	parathyroid hormone	4	0
3846	PTH	3	0
3848	PAB	3	0
3848	PABA	3	0
3848	para-aminobenzoic acid	4	0
3849	parieto-occipital	0	1
3849	PO	3	1
3850	paroxysmal nocturnal dyspnea	4	0
3850	PND	3	0
3851	part	0	4
3851	pt	3	4
3853	partial thromboplastin time	4	0
3853	PTT	3	0
3854	part per billion	4	0
3854	ppb	3	0
3855	part per million	4	0
3855	ppm	3	0
3861	payment	0	4
3861	pt	3	4
3864	pelvic inflammatory disease	4	0
3864	PID	3	0
3865	penicillin	0	4
3865	PN	3	4
3867	PCP	3	4
3867	pentachlorophenol	0	4
3870	peptic ulcer	4	0
3870	PU	3	0
3871	peptidoglycan	0	4
3871	PG	3	4
3873	PC	3	4
3873	percentage	0	4
3875	percutaneous transluminal angioplasty	4	0
3875	PTA	3	0
3876	perfluorocarbon	0	4
3876	PFC	3	4
3878	perfusion pressure	4	0
3878	PP	3	0
3879	PA	3	4
3879	periarteritis	0	4
3880	periarteritis nodosa	4	0
3880	PN	3	0
3885	PB	3	0
3885	peripheral blood	4	0
3887	PBL	3	0
3887	peripheral blood lymphocyte	4	0
3888	PBL-T	3	0
3888	peripheral blood lymphocyte t	4	0
3889	PBMC	3	0
3889	peripheral blood mononuclear cell	4	0
3891	peripheral nervous system	4	0
3891	PNS	3	0
3892	PDS	3	0
3892	peritoneal dialysis solution	4	0
3894	perivascular space	4	0
3894	PVS	3	0
3896	PA	3	0
3896	pernicious anemia	4	0
3897	peroxidase	0	4
3897	PX	3	4
3901	PC	3	0
3901	per cent	4	0
3904	PCP	3	4
3904	phencyclidine	0	4
3908	PA	3	4
3908	phenylalanine	0	4
3909	phenylmercuric acetate	4	0
3909	PMA	3	0
3910	phenylpyruvic acid	4	0
3910	PPA	3	0
3912	PCC	3	4
3912	pheochromocytoma	0	4
3915	phorbol myristate acetate	4	0
3915	PMA	3	0
3918	PA	3	0
3918	phosphatidic acid	4	0
3920	PE	3	4
3920	phosphatidylethanolamine	0	4
3921	phosphatidylinositol	0	4
3921	PtdIns	3	4
3925	PDE	3	4
3925	phosphodiesterase	0	4
3926	PEP	3	4
3926	phosphoenolpyruvate	0	4
3927	PFK	3	4
3927	phosphofructokinase	0	4
3932	PA	3	4
3932	photoallergy	0	4
3933	PCT	3	4
3933	photochemotherapy	0	4
3935	photo radiation therapy	4	0
3935	PRT	3	0
3936	phrenic nerve	4	0
3936	PN	3	0
3937	PA	3	0
3937	phthalic anhydride	4	0
3938	physical examination	4	0
3938	Px	3	0
3939	physical training	4	0
3939	PT	3	0
3942	PHA	3	4
3942	phytohaemagglutinin	0	4
3944	picomole	0	4
3944	pmol	3	4
3946	pint	0	4
3946	pt	3	4
3947	PCL	3	0
3947	plasma cell leukaemia	4	0
3948	PCL	3	0
3948	plasma cell leukemia	4	0
3949	PE	3	0
3949	plasma exchange	4	0
3950	plasma thromboplastin antecedent	4	0
3950	PTA	3	0
3951	plasma thromboplastin component	4	0
3951	PTC	3	0
3952	PA	3	0
3952	plasminogen activator	4	0
3954	PAF	3	0
3954	platelet activating factor	4	0
3955	PA	3	0
3955	platelet adhesiveness	4	0
3956	PA	3	0
3956	platelet aggregation	4	0
3957	PC	3	0
3957	platelet count	4	0
3959	platelet-rich plasma	4	0
3959	PRP	3	0
3963	pneumoperitoneum	0	4
3963	PNP	3	4
3963	ppt	3	4
3965	pneumothorax	0	4
3965	PTX	3	4
3965	Px	3	4
3966	point	0	5
3966	pt	3	5
3973	PA	3	4
3973	polyarthritis	0	4
3974	PCB	3	0
3974	polychlorinated biphenyl	4	0
3975	PCOS	3	0
3975	polycystic ovary syndrome	4	0
3979	PML	3	0
3979	PMN	3	0
3979	PMNL	3	0
3979	polymorphonuclear leukocyte	4	0
3980	PMB	3	0
3980	polymyxin B	4	0
3983	PN	3	4
3983	PNP	3	4
3983	polyneuropathy	0	4
3985	polyunsaturated fatty acid	4	0
3985	PUFA	3	0
3986	polyvinyl alcohol	4	0
3986	PVA	3	0
3988	PBG	3	4
3988	porphobilinogen	0	4
3989	port	0	4
3989	pt	3	4
3991	PHT	3	0
3991	portal hypertension	4	0
3992	PET	3	0
3992	positron emission tomography	4	0
3993	PCV	3	0
3993	postcapillary venule	4	0
3994	PO	3	4
3994	posterior	0	4
3996	PND	3	0
3996	postnasal drip	4	0
3997	PN	3	1
3997	postnatal	0	1
3999	PO	3	1
3999	post-op	3	1
3999	postoperative	0	1
4000	poststenotic	0	1
4000	PST	3	1
4004	PKDL	3	0
4004	post-kala-azar dermal leishmaniasis	4	0
4007	KCN	3	0
4007	potassium cyanide	4	0
4008	lb	3	4
4008	pound	0	4
4011	ppt	3	5
4011	precipitate	0	5
4012	ppt	3	4
4012	precipitation	0	4
4017	premature ventricular complex	4	0
4017	PVC	3	0
4018	POA	3	0
4018	preoptic area	4	0
4023	PBC	3	0
4023	primary biliary cirrhosis	4	0
4025	PHC	3	0
4025	primary health care	4	0
4030	prognosis	0	4
4030	Px	3	4
4031	progressively transformed germinal center	4	0
4031	PTGC	3	0
4032	PD	3	0
4032	progressive disease	4	0
4033	PML	3	0
4033	progressive multifocal leukoencephalopathy	4	0
4034	PMA	3	0
4034	progressive muscular atrophy	4	0
4035	progressive supranuclear palsy	4	0
4035	PSP	3	0
4036	progressive systemic sclerosis	4	0
4036	PSS	3	0
4037	PRL	3	4
4037	prolactin	0	4
4040	PG	3	4
4040	prostaglandin	0	4
4044	PK	3	0
4044	protein kinase	4	0
4045	PKC	3	0
4045	protein kinase C	4	0
4054	PGA	3	0
4054	pteroylglutamic acid	4	0
4055	PHS	3	0
4055	public health service	4	0
4057	PA	3	0
4057	pulmonary artery	4	0
4058	PCWP	3	0
4058	pulmonary capillary wedge pressure	4	0
4059	PHD	3	0
4059	pulmonary heart disease	4	0
4060	PHT	3	0
4060	pulmonary hypertension	4	0
4061	pulmonary venous	4	0
4061	Pv	3	0
4062	P2	3	0
4062	pulmonic second sound	4	0
4066	PPD	3	0
4066	purified protein derivative	4	0
4072	PN	3	4
4072	pyelonephritis	0	4
4074	PC	3	0
4074	pyruvate carboxylase	4	0
4075	PK	3	0
4075	pyruvate kinase	4	0
4078	QF	3	0
4078	quadriceps femoris	4	0
4083	qt	3	4
4083	quantity	0	4
4086	qt	3	4
4086	quart	0	4
4091	qt	3	4
4091	quiet	0	4
4097	radial immunodiffusion	4	0
4097	RID	3	0
4098	radial keratotomy	4	0
4098	RK	3	0
4099	RA	3	1
4099	radioactive	0	1
4100	RA	3	4
4100	radioactivity	0	4
4101	radioallergosorbent test	4	0
4101	RAST	3	0
4102	radiocarpal	0	1
4102	RC	3	1
4103	radioimmunoassay	0	4
4103	RIA	3	4
4104	radioimmunosorbent test	4	0
4104	rist	3	0
4105	radionuclide	0	4
4105	RN	3	4
4113	rat unit	4	0
4113	RU	3	0
4114	reading test	4	0
4114	RT	3	0
4116	Rc	3	4
4116	receptor	0	4
4118	recipe	0	4
4118	Rx	3	4
4121	recovery room	4	0
4121	RR	3	0
4122	rectal prolapse	4	0
4122	RP	3	0
4126	rbc	3	0
4126	red blood cell	4	0
4127	RBC	3	0
4127	red blood cell count	4	0
4129	RBC	3	0
4129	red blood count	4	0
4130	red nucleus	4	0
4130	RN	3	0
4132	reed-sternberg	0	1
4132	RS	3	1
4132	R-S	3	1
4134	RA	3	0
4134	refractory anemia	4	0
4135	refractory period	4	0
4135	RP	3	0
4139	relapsing polychondritis	4	0
4139	RP	3	0
4140	remission	0	4
4140	rm	3	4
4141	RA	3	0
4141	renal artery	4	0
4142	RAS	3	0
4142	renal artery stenosis	4	0
4144	RCA	3	0
4144	RCC	3	0
4144	renal cell carcinoma	4	0
4145	RD	3	0
4145	renal disease	4	0
4146	renal tubular acidosis	4	0
4146	RTA	3	0
4149	residual volume	4	0
4149	RV	3	0
4154	QR	3	0
4154	respiratory quotient	4	0
4157	restriction fragment length polymorphism	4	0
4157	RFLP	3	0
4158	rest pain	4	0
4158	RP	3	0
4159	RAS	3	0
4159	reticular activating system	4	0
4160	reticular nucleus	4	0
4160	RN	3	0
4161	RCS	3	0
4161	reticulum cell sarcoma	4	0
4162	RD	3	0
4162	retinal detachment	4	0
4163	retinitis pigmentosa	4	0
4163	RP	3	0
4164	RA	3	0
4164	retinoic acid	4	0
4168	retrolental fibroplasia	4	0
4168	RLF	3	0
4170	revolution per minute	4	0
4170	rpm	3	0
4173	RF	3	0
4173	rheumatic fever	4	0
4174	RA	3	0
4174	rheumatoid arthritis	4	0
4175	RD	3	0
4175	rheumatoid disease	4	0
4176	RF	3	0
4176	rheumatoid factor	4	0
4178	ribonucleic acid	4	0
4178	RNA	3	0
4179	ribosomal ribonucleic acid	4	0
4179	rRNA	3	0
4182	RA	3	0
4182	right atrium	4	0
4183	RIF	3	0
4183	right iliac fossa	4	0
4186	right sacroanterior	4	0
4186	RSA	3	0
4187	RA	3	4
4187	right-angle	0	4
4188	rm	3	4
4188	room	0	4
4189	RC	3	0
4189	root canal	4	0
4194	saint	0	4
4194	St	3	4
4195	salivary gland	4	0
4195	SG	3	0
4197	sarcolemma	0	4
4197	SL	3	4
4203	CII	3	0
4203	second cranial nerve	4	0
4206	SC	3	0
4206	secretory component	4	0
4207	secretory otitis media	4	0
4207	SOM	3	0
4213	seminal fluid	4	0
4213	SF	3	0
4215	SD	3	0
4215	senile dementia	4	0
4220	SD	3	0
4220	septal defect	4	0
4224	serous otitis media	4	0
4224	SOM	3	0
4226	serum globulin	4	0
4226	SG	3	0
4229	SCID	3	0
4229	severe combined immunodeficiency disease	4	0
4230	sexually transmitted disease	4	0
4230	STD	3	0
4231	SF	3	0
4231	sham feeding	4	0
4232	SF	3	0
4232	shipping fever	4	0
4234	SCT	3	0
4234	sickle cell trait	4	0
4236	SG	3	4
4236	sign	0	4
4240	simian virus	4	0
4240	SV	3	0
4240	SV40	3	0
4244	sinus venosus	4	0
4244	SV	3	0
4245	SG	3	0
4245	skin graft	4	0
4248	slight	0	1
4248	slt	3	1
4250	slightly	0	1
4250	slt	3	1
4254	social worker	4	0
4254	SW	3	0
4256	NaHCO3	3	0
4256	sodium bicarbonate	4	0
4257	NaCl	3	0
4257	sodium chloride	4	0
4259	NaOH	3	0
4259	sodium hydroxide	4	0
4261	sodium tetradecyl sulfate	4	0
4261	STS	3	0
4262	sodium thiosulfate	4	0
4262	STS	3	0
4263	sodium valproate	4	0
4263	SV	3	0
4264	SM-C	3	0
4264	somatomedin C	4	0
4272	species	0	4
4272	SPP	3	4
4275	spermine	0	4
4275	SPM	3	4
4277	SMA	3	0
4277	spinal muscular atrophy	4	0
4278	SF	3	4
4278	spinal-fluid	0	4
4279	SBA	3	0
4279	spina bifida aperta	4	0
4280	SE	3	4
4280	spin-echo	0	4
4284	SED	3	0
4284	spondyloepiphyseal dysplasia	4	0
4289	SF	3	0
4289	stable factor	4	0
4290	stab wound	4	0
4290	SW	3	0
4292	staph	3	4
4292	staphylococcus	0	4
4295	SCM	3	1
4295	sternocleidomastoid	0	1
4299	SD	3	4
4299	streptodornase	0	4
4300	SK	3	4
4300	streptokinase	0	4
4301	streptozocin	0	4
4301	STZ	3	4
4302	stroke volume	4	0
4302	SV	3	0
4305	SSP	3	0
4305	SSPE	3	0
4305	subacute sclerosing panencephalitis	4	0
4306	SAH	3	0
4306	subarachnoid hemorrhage	4	0
4307	SCE	3	0
4307	subcutaneous emphysema	4	0
4308	SDH	3	0
4308	subdural hematoma	4	0
4311	SPT	3	4
4311	subspecies	0	4
4313	SD	3	0
4313	sudden death	4	0
4314	SIDS	3	0
4314	sudden infant death syndrome	4	0
4318	SH	3	4
4318	sulfhydryl	0	4
4319	SBP	3	4
4319	sulfobromophthalein	0	4
4322	SD	3	0
4322	superoxide dismutase	4	0
4325	SG	3	0
4325	surgeon general	4	0
4332	SF	3	0
4332	synovial fluid	4	0
4337	tardive dyskinesia	4	0
4337	TD	3	0
4338	teaspoon	0	4
4338	tsp	3	4
4342	temperature	0	4
4342	TPR	3	4
4343	temporomandibular joint	4	0
4343	TMJ	3	0
4344	temporoparietal	0	1
4344	TP	3	1
4358	tetrahydrocannabinol	0	4
4358	THC	3	4
4363	TAT	3	0
4363	thematic apperception test	4	0
4366	therapy	0	4
4366	Tx	3	4
4369	thiacetazone	0	4
4369	THZ	3	4
4370	thiamine pyrophosphate	4	0
4370	THPP	3	0
4372	TG	3	4
4372	thioguanine	0	4
4373	TD	3	0
4373	thoracic duct	4	0
4378	thrombocytopenic purpura	4	0
4378	TP	3	0
4379	thrombophlebitis	0	4
4379	TP	3	4
4380	thrombopoietin	0	4
4380	TPO	3	4
4381	thrombotic microangiopathy	4	0
4381	TMA	3	0
4382	thrombotic thrombocytopenic purpura	4	0
4382	TTP	3	0
4383	thromboxane	0	4
4383	TX	3	4
4384	thromboxane A2	4	0
4384	TXA2	3	0
4385	thromboxane B2	4	0
4385	TXB2	3	0
4388	thymidine kinase	4	0
4388	TK	3	0
4391	TD	3	1
4391	thymus-dependent	0	1
4395	thyroid-stimulating hormone	4	0
4395	TSH	3	0
4396	thyrotropin-releasing hormone	4	0
4396	TRH	3	0
4397	T4	3	4
4397	thyroxine	0	4
4398	TA	3	0
4398	tibialis anterior	4	0
4399	TBEV	3	0
4399	tick-borne encephalitis virus	4	0
4402	tissue plasminogen activator	4	0
4402	t-PA	3	0
4404	TMV	3	0
4404	tobacco mosaic virus	4	0
4405	TDI	3	0
4405	toluene diisocyanate	4	0
4407	TD	3	0
4407	torsion dystonia	4	0
4409	TBI	3	0
4409	total body irradiation	4	0
4411	TBK	3	0
4411	total body potassium	4	0
4413	TLC	3	0
4413	total lung capacity	4	0
4414	TORP	3	0
4414	total ossic replacement prosthesis	4	0
4415	total parenteral nutrition	4	0
4415	TPN	3	0
4416	toxic shock syndrome	4	0
4416	TSS	3	0
4417	TAT	3	4
4417	toxin-antitoxin	0	4
4421	traction	0	4
4421	tx	3	4
4424	TM	3	0
4424	transcendental meditation	4	0
4425	TD	3	1
4425	transdermal	0	1
4426	Pdi	3	0
4426	transdiaphragmatic pressure	4	0
4427	TF	3	0
4427	transfer factor	4	0
4428	TIA	3	0
4428	transient ischemic attack	4	0
4429	transketolase	0	4
4429	TRK	3	4
4431	TEM	3	0
4431	transmission electron microscopy	4	0
4433	transplantation	0	4
4433	TX	3	4
4435	transthoracic	0	1
4435	TT	3	1
4436	transtracheal	0	1
4436	TT	3	1
4440	treatment	0	4
4440	TX	3	4
4442	TE	3	0
4442	treatment expectation	4	0
4444	TP	3	0
4444	treponema pallidum	4	0
4446	TR	3	0
4446	tricuspid regurgitation	4	0
4448	TCA	3	0
4448	TCAD	3	0
4448	tricyclic antidepressant	4	0
4449	TG	3	0
4449	trigeminal ganglion	4	0
4450	T3	3	4
4450	triiodothyronine	0	4
4451	TMP	3	4
4451	trimethoprim	0	4
4452	TNP	3	4
4452	trinitrophenyl	0	4
4453	TNT	3	4
4453	trinitrotoluene	0	4
4454	TP	3	4
4454	triphosphate	0	4
4456	tham	3	4
4456	tromethamine	0	4
4457	tropical spastic paraparesis	4	0
4457	TSP	3	0
4460	TP	3	4
4460	Trp	3	4
4460	tryptophan	0	4
4462	TB	3	0
4462	TBA	3	0
4462	tubercle bacillus	4	0
4463	TB	3	4
4463	tuberculin	0	4
4465	TB	3	4
4465	tuberculosis	0	4
4466	TNF	3	0
4466	tumor necrosis factor	4	0
4468	TNF	3	0
4468	tumour necrosis factor	4	0
4473	tyrosine	0	4
4473	Y	3	4
4474	T cell chronic lymphocytic leukemia	4	0
4474	T-CLL	3	0
4476	Q10	3	4
4476	ubiquinone	0	4
4477	UF	3	4
4477	ultrafiltrate	0	4
4478	UF	3	4
4478	ultrafiltration	0	4
4480	ultraviolet	0	4
4480	UV	3	4
4481	ultraviolet A	4	0
4481	UVA	3	0
4482	ultraviolet B	4	0
4482	UVB	3	0
4483	UA	3	0
4483	umbilical artery	4	0
4485	UFA	3	0
4485	unesterified fatty acid	4	0
4492	upper respiratory infection	4	0
4492	URI	3	0
4495	UA	3	0
4495	uric acid	4	0
4497	UD	3	0
4497	UDP	3	0
4497	uridine diphosphate	4	0
4498	UDPGA	3	0
4498	uridine diphosphate glucuronic acid	4	0
4501	UMP	3	0
4501	uridine monophosphate	4	0
4502	UA	3	0
4502	uridylic acid	4	0
4503	UA	3	4
4503	urinalysis	0	4
4504	UI	3	0
4504	urinary incontinence	4	0
4505	urinary tract infection	4	0
4505	UTI	3	0
4506	UDCA	3	0
4506	ursodeoxycholic acid	4	0
4507	UIP	3	0
4507	usual interstitial pneumonitis	4	0
4509	vaccinia virus	4	0
4509	VV	3	0
4511	VA	3	0
4511	vacuum aspiration	4	0
4512	vaginal hysterectomy	4	0
4512	VH	3	0
4514	VA	3	0
4514	valproic acid	4	0
4514	VPA	3	0
4516	VA	3	4
4516	vancomycin	0	4
4517	vanillylmandelic acid	4	0
4517	VMA	3	0
4520	varicella-zoster virus	4	0
4520	VZV	3	0
4521	varicose vein	4	0
4521	VV	3	0
4524	vascular resistance	4	0
4524	VR	3	0
4525	vasodilation	0	4
4525	VD	3	4
4526	vasodilator	0	4
4526	VD	3	4
4531	VD	3	0
4531	venereal disease	4	0
4534	VEE	3	0
4534	Venezuelan equine encephalitis	4	0
4537	VA	3	0
4537	ventricular aneurysm	4	0
4539	ventricular hypertrophy	4	0
4539	VH	3	0
4540	ventricular premature complex	4	0
4540	VPC	3	0
4541	ventricular septal defect	4	0
4541	VSD	3	0
4542	ventricular tachycardia	4	0
4542	VT	3	0
4545	ventrolateral	0	1
4545	VL	3	1
4548	VA	3	0
4548	vertebral artery	4	0
4551	very low-density lipoprotein	4	0
4551	VLDL	3	0
4552	vesicular stomatitis virus	4	0
4552	VSV	3	0
4556	VCR	3	4
4556	vincristine	0	4
4557	VCA	3	0
4557	viral capsid	4	0
4558	VH	3	0
4558	viral hepatitis	4	0
4560	Va	3	0
4560	visual acuity	4	0
4562	VC	3	0
4562	vital capacity	4	0
4564	vd	3	4
4564	void	0	4
4569	VCV	3	4
4569	vowel-consonant-vowel	0	4
4581	west nile	4	0
4581	WN	3	0
4582	wet weight	4	0
4582	WW	3	0
4587	WBC	3	0
4587	white blood cell	4	0
4588	WBC	3	0
4588	white blood cell count	4	0
4589	WBC	3	0
4589	white blood count	4	0
4598	xanthine oxidase	4	0
4598	XO	3	0
4599	xanthogranulomatous pyelonephritis	4	0
4599	XP	3	0
4601	xeroderma pigmentosum	4	0
4601	XP	3	0
4603	x-ray fluorescence	4	0
4603	XRF	3	0
4604	yard	0	4
4604	yd	3	4
4605	year	0	4
4605	yr	3	4
4610	ZDV	3	4
4610	zidovudine	0	4
4613	aflatoxin	0	4
4613	AFT	3	4
4615	BD	3	4
4615	bronchodilation	0	4
4619	deoxyribonuclease	0	4
4619	DNase	3	4
4620	deoxyribonucleoprotein	0	4
4620	DNP	3	4
4621	DET	3	4
4621	diethyltryptamine	0	4
4623	electroresection	0	4
4623	ER	3	4
4626	hexokinase	0	4
4626	HK	3	4
4627	HA	3	0
4627	hippuric acid	4	0
4630	OC	3	4
4630	organochlorine	0	4
4631	paraphenylenediamine	0	4
4631	PPD	3	4
4633	phosphoribosylamine	0	4
4633	PRA	3	4
4634	PA	3	4
4634	polyamine	0	4
4635	pseudopregnancy	0	4
4635	PSP	3	4
4636	ribonucleoprotein	0	4
4636	RNP	3	4
4639	sphingomyelin	0	4
4639	SPM	3	4
4641	trachoma inclusion conjunctivitis	4	0
4641	tric	3	0
4642	TG	3	4
4642	triacylglycerol	0	4
4643	TG	3	4
4643	triglyceride	0	4
4644	TMA	3	4
4644	trimethylamine	0	4
4646	bluetongue	0	4
4646	BT	3	4
4648	PA	3	4
4648	proactivator	0	4
4651	electronystagmogram	0	4
4651	ENG	3	4
4652	CAG	3	4
4652	cholangiogram	0	4
4653	maxwell	0	4
4653	Mx	3	4
4658	RD	3	0
4658	rubber dam	4	0
4659	short wave	4	0
4659	SW	3	0
4663	GMP	3	0
4663	guanosine monophosphate	4	0
4669	DF	3	4
4669	dorsiflexion	0	4
4670	HE	3	4
4670	hyperextension	0	4
4671	MI	3	4
4671	myo-inositol	0	4
4675	2,3-bisphosphoglycerate	0	4
4675	2,3-DPG	3	4
4675	DPG	3	4
4678	GA	3	0
4678	glutaric acid	4	0
4680	OA	3	0
4680	octanoic acid	4	0
4681	OA	3	0
4681	oxalic acid	4	0
4683	PA	3	0
4683	propionic acid	4	0
4684	PA	3	0
4684	pyruvic acid	4	0
4686	XA	3	0
4686	xanthurenic acid	4	0
4687	dimethylsulfoxide	0	4
4687	DMSO	3	4
4689	penetrating keratoplasty	4	0
4689	PK	3	0
4690	peripheral nerve	4	0
4690	PN	3	0
4691	PDH	3	0
4691	pyruvate dehydrogenase	4	0
4692	PA	3	0
4692	periodic acid	4	0
4693	PN	3	0
4693	polyarteritis nodosa	4	0
4694	PN	3	0
4694	positional nystagmus	4	0
4695	radical mastectomy	4	0
4695	RM	3	0
4696	RC	3	0
4696	red cell	4	0
4700	ADHD	3	0
4700	attention deficit hyperactivity disorder	4	0
4701	RC	3	0
4701	respiratory care	4	0
4702	SMA	3	0
4702	superior mesenteric artery	4	0
4703	SCID	3	0
4703	severe combined immunodeficiency	4	0
4704	SL	3	0
4704	slit lamp	4	0
4705	SG	3	0
4705	substantia gelatinosa	4	0
4706	STA	3	0
4706	superficial temporal artery	4	0
4708	C reactive protein	4	0
4708	CRP	3	0
4709	C3 proactivator	4	0
4709	C3PA	3	0
4710	TD	3	0
4710	transverse diameter	4	0
4711	UL	3	0
4711	upper limb	4	0
4712	UD	3	0
4712	ulnar deviation	4	0
4713	CCA	3	0
4713	common carotid artery	4	0
4714	ventricular rhythm	4	0
4714	VR	3	0
4716	zona reticularis	4	0
4716	ZR	3	0
4717	colony stimulating factor	4	0
4717	CSF	3	0
4718	CFU	3	0
4718	colony forming unit	4	0
4720	COPRO-O	3	0
4720	coproporphyrinogen oxidase	4	0
4721	chondromalacia patellae	4	0
4721	CMP	3	0
4722	conditioned response	4	0
4722	Rc	3	0
4723	DC	3	0
4723	descending colon	4	0
4724	corticotropin releasing factor	4	0
4724	CRF	3	0
4725	corticotropin releasing hormone	4	0
4725	CRH	3	0
4726	DD	3	0
4726	delusional disorder	4	0
4727	EDS	3	0
4727	Ehlers Danlos syndrome	4	0
4730	deoxythymidine diphosphate	4	0
4730	dTDP	3	0
4731	deoxythymidine monophosphate	4	0
4731	dTMP	3	0
4732	deoxythymidine triphosphate	4	0
4732	dTTP	3	0
4734	EOM	3	0
4734	extraocular muscle	4	0
4735	EM	3	0
4735	emotional disorder	4	0
4736	endoscopic retrograde cholangiopancreatography	4	0
4736	ERCP	3	0
4737	ER	3	0
4737	estrogen receptor	4	0
4738	ERM	3	0
4738	extended radical mastectomy	4	0
4739	ECMO	3	0
4739	extracorporeal membrane oxygenation	4	0
4740	SF	3	0
4740	swine fever	4	0
4741	glutamic oxaloacetic transaminase	4	0
4741	Got	3	0
4742	glutamic pyruvic transaminase	4	0
4742	GPT	3	0
4743	glutamyl transpeptidase	4	0
4743	GTP	3	0
4744	H antigen	4	0
4744	HA	3	0
4745	hairy cell	4	0
4745	HC	3	0
4746	HBcAg	3	0
4746	hepatitis B core antigen	4	0
4747	HBeAg	3	0
4747	hepatitis B e antigen	4	0
4748	gastric inhibitory polypeptide	4	0
4748	GIP	3	0
4749	HK	3	0
4749	horseshoe kidney	4	0
4751	HbF	3	0
4751	hemoglobin F	4	0
4752	GnRH	3	0
4752	gonadotropin releasing hormone	4	0
4753	GDP	3	0
4753	guanosine diphosphate	4	0
4757	HGPRT	3	0
4757	HPRT	3	0
4757	HPRTase	3	0
4757	hypoxanthine guanine phosphoribosyltransferase	4	0
4758	HCV	3	0
4758	hepatitis C virus	4	0
4760	inner plexiform layer	4	0
4760	IPL	3	0
4761	IDD	3	0
4761	insulin dependent diabetes	4	0
4762	intermittent positive pressure breathing	4	0
4762	IPPB	3	0
4763	ICCE	3	0
4763	intracapsular cataract extraction	4	0
4764	intrauterine device	4	0
4764	IUD	3	0
4767	lateral malleolus	4	0
4767	LM	3	0
4768	left pulmonary artery	4	0
4768	LPA	3	0
4769	IMP	3	0
4769	inosine monophosphate	4	0
4770	IGF	3	0
4770	insulin like growth factor	4	0
4771	IL-1	3	0
4771	interleukin 1	4	0
4773	manic depressive	4	0
4773	MD	3	0
4774	IMV	3	0
4774	inferior mesenteric vein	4	0
4776	MCD	3	0
4776	multiple carboxylase deficiency	4	0
4777	MEN	3	0
4777	multiple endocrine neoplasia	4	0
4778	MBP	3	0
4778	myelin basic protein	4	0
4779	major depression	4	0
4779	MD	3	0
4780	MCH	3	0
4780	mean corpuscular hemoglobin	4	0
4781	MD	3	0
4781	Meckel's diverticulum	4	0
4782	melanocyte stimulating hormone	4	0
4782	MSH	3	0
4783	keyhole limpet hemocyanin	4	0
4783	KLH	3	0
4784	kj	3	0
4784	knee jerk	4	0
4785	MPD	3	0
4785	myofascial pain dysfunction	4	0
4786	N acetylneuraminic acid	4	0
4786	NAN	3	0
4787	MAC	3	0
4787	membrane attack complex	4	0
4788	MAA	3	0
4788	methacrylic acid	4	0
4789	nerve root	4	0
4789	NR	3	0
4790	OA	3	0
4790	occipital artery	4	0
4791	phospholipase D	4	0
4791	PLD	3	0
